ID,X1 LIMIT_BAL,X2 SEX,X3 EDUCATION,X4 MARRIAGE,X5 AGE,X6 PAY_0,X7 PAY_2,X8 PAY_3,X9 PAY_4,X10 PAY_5,X11 PAY_6,X12 BILL_AMT1,X13 BILL_AMT2,X14 BILL_AMT3,X15 BILL_AMT4,X16 BILL_AMT5,X17 BILL_AMT6,X18 PAY_AMT1,X19 PAY_AMT2,X20 PAY_AMT3,X21 PAY_AMT4,X22 PAY_AMT5,X23 PAY_AMT6,Y default payment next month,RatioUso_12,RatioUso_13,RatioUso_14,RatioUso_15,RatioUso_16,RatioUso_17
2,120000,2,2,2,26,0,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,0.02235,0.014375,0.02235,0.027266666666666668,0.028791666666666667,0.027175
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,0.9400285714285714,0.9624142857142857,0.9385857142857142,0.9540285714285714,0.5162428571428571,0.5270571428571429
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,0.7688,0.9005,0.8714,0.9169,0.89525,0.9552
22,120000,2,2,1,39,0,0,0,0,0,0,316,316,316,0,632,316,316,316,0,632,316,0,1,0.0026333333333333334,0.0026333333333333334,0.0026333333333333334,0.0,0.005266666666666667,0.0026333333333333334
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,0.5869571428571428,0.6063571428571428,0.6431428571428571,0.6286571428571428,0.6700714285714285,0.6573142857142857
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,0.61036,0.59236,0.44204,0.45468,0.46434,0.4736
47,20000,2,1,2,22,0,0,2,0,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,0.7014,0.8242,0.79,0.81705,0.83375,0.0
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,0.5291714285714286,0.5167285714285714,0.5479285714285714,0.5631857142857143,0.5522714285714285,0.5623142857142858
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,0.045696,0.047276,0.037756,0.029874,0.027654,0.031142
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,0.49974,0.486,0.53182,0.5173,0.55334,0.56528
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,0.2097,0.4193,0.3978,0.4062,0.4196,0.4326
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,0.182084375,0.18514375,0.188075,0.18319375,0.194709375,0.19851875
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,0.9462333333333334,0.9870666666666666,1.0108666666666666,0.9334666666666667,0.8815333333333333,0.2137
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,0.4387333333333333,0.45785,0.46846666666666664,0.36655,0.33165,0.3295166666666667
87,360000,2,1,1,45,0,0,2,0,0,0,390,1170,780,390,390,390,1170,0,0,390,390,390,1,0.0010833333333333333,0.00325,0.0021666666666666666,0.0010833333333333333,0.0010833333333333333,0.0010833333333333333
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,0.6909,0.70387,0.7123,0.72049,0.73562,0.747655
100,20000,1,2,1,38,0,0,0,0,0,0,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,0.89865,0.96835,0.97795,0.912,0.8964,0.0075
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,0.89396,0.84508,0.76694,0.64992,0.46954,0.48188
116,30000,1,1,2,24,0,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1,0.6066333333333334,0.5872666666666667,0.6210333333333333,0.7106333333333333,0.6897333333333333,0.7067
118,80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1,0.1753625,0.1936625,0.207875,0.2131875,0.2203625,0.227325
121,50000,1,3,2,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1,0.92008,0.91952,0.97906,0.97702,0.98636,1.02286
124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1,0.983841935483871,1.0040096774193548,0.9881096774193548,0.8342258064516129,0.7951322580645162,0.6415774193548387
128,180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,1,0.9096444444444445,0.6467888888888889,0.5515444444444444,0.5320333333333334,0.5430722222222222,0.5329277777777778
129,50000,1,2,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1,0.06694,0.07798,0.09006,0.10694,0.1275,0.14154
147,170000,2,2,2,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,1,0.11334705882352941,0.11948823529411765,0.12265882352941176,0.10329411764705883,0.1054,0.05352941176470588
159,210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1,0.5513571428571429,0.5852571428571428,0.6183190476190477,0.6537,0.6930142857142857,0.7338333333333333
176,130000,1,3,1,56,1,2,2,2,2,3,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0,1,0.4970538461538462,0.507523076923077,0.5175538461538461,0.5273615384615384,0.5599692307692308,0.5488076923076923
184,60000,2,2,1,24,0,0,0,0,0,0,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,2000,1,0.9670666666666666,0.96485,0.8139833333333333,0.3161833333333333,0.32205,0.32325
186,100000,2,2,1,38,1,2,0,0,2,0,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500,1,0.14483,0.13961,0.15323,0.16268,0.15868,0.16448
188,200000,2,3,2,47,2,2,2,2,2,2,199436,202947,193936,196186,200162,189915,8214,7000,6800,7134,0,6836,1,0.99718,1.014735,0.96968,0.98093,1.00081,0.949575
192,60000,2,1,2,27,2,0,0,0,2,0,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846,1,0.32708333333333334,0.3391166666666667,0.36115,0.3834166666666667,0.37498333333333334,0.38121666666666665
196,50000,2,1,2,24,1,2,2,2,2,2,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,1,0.72332,0.74376,0.7536,0.76924,0.78456,0.8007
200,30000,2,3,2,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,0,1,0.967,0.9752,0.9374,0.9945333333333334,0.05433333333333333,0.0
208,210000,2,2,1,41,0,0,0,0,0,0,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,1,0.014704761904761905,0.007552380952380953,0.0016333333333333334,0.01791904761904762,0.004176190476190477,0.0
209,80000,2,2,2,24,0,0,0,0,0,0,81625,81554,79599,49552,49509,49568,3200,3000,2038,2000,1800,1800,1,1.0203125,1.019425,0.9949875,0.6194,0.6188625,0.6196
221,360000,2,1,1,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,1,0.29213055555555556,0.32074444444444444,0.3115472222222222,0.31858333333333333,0.32734722222222223,0.3339944444444444
225,50000,2,3,2,37,1,3,2,0,0,0,52626,51537,49205,30394,30249,29957,0,24,1500,1000,1201,30592,1,1.05252,1.03074,0.9841,0.60788,0.60498,0.59914
229,50000,1,2,2,23,2,0,0,0,0,0,49758,48456,44116,21247,20066,18858,2401,2254,2004,704,707,1004,1,0.99516,0.96912,0.88232,0.42494,0.40132,0.37716
232,20000,1,2,2,23,1,2,0,0,2,0,20235,17132,16856,16875,13454,10104,0,1200,1000,0,1000,10000,1,1.01175,0.8566,0.8428,0.84375,0.6727,0.5052
234,190000,1,2,2,34,2,0,0,0,2,2,129801,131383,134379,142323,140120,150052,5000,5000,10000,0,12118,2769,1,0.6831631578947368,0.6914894736842105,0.7072578947368421,0.7490684210526316,0.7374736842105263,0.7897473684210526
239,240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714,1,0.9758541666666667,0.9652875,0.8943416666666667,0.865175,0.8765625,0.8945583333333333
240,140000,2,2,3,41,0,0,0,0,0,0,19346,21708,22940,19068,16409,16383,3000,2000,2198,1000,3000,2399,1,0.13818571428571427,0.15505714285714287,0.16385714285714287,0.1362,0.11720714285714286,0.11702142857142857
253,140000,2,2,2,26,0,0,0,0,0,0,101551,105246,104781,105334,107699,106828,5366,5087,3605,3894,3785,3304,1,0.7253642857142857,0.7517571428571429,0.7484357142857143,0.7523857142857143,0.7692785714285715,0.7630571428571429
260,220000,1,1,1,48,2,0,0,0,0,0,210380,213522,201852,169115,172169,162402,10000,9020,6000,5500,6000,5500,1,0.9562727272727273,0.9705545454545454,0.9175090909090909,0.7687045454545455,0.7825863636363637,0.7381909090909091
268,130000,2,3,2,49,0,0,0,0,0,0,89003,91362,72197,49654,28065,27500,4100,3095,1630,561,600,0,1,0.6846384615384615,0.7027846153846153,0.5553615384615385,0.38195384615384614,0.2158846153846154,0.21153846153846154
270,50000,1,2,2,27,3,2,2,0,0,0,13694,14880,14242,13968,14319,2614,1700,0,426,501,2614,1390,1,0.27388,0.2976,0.28484,0.27936,0.28638,0.05228
277,460000,1,1,1,40,2,0,0,0,0,0,171,2715,-13,2641,-10,22535,2728,0,2654,0,22545,0,1,0.0003717391304347826,0.005902173913043479,-2.8260869565217392e-05,0.0057413043478260865,-2.173913043478261e-05,0.04898913043478261
289,100000,2,2,2,25,2,0,0,0,0,0,70896,71678,70125,69856,69718,51365,3472,2092,2000,2127,1960,1559,1,0.70896,0.71678,0.70125,0.69856,0.69718,0.51365
291,280000,1,1,2,33,0,0,0,0,0,0,898,898,325,898,325,-339603,898,325,898,325,0,345293,1,0.003207142857142857,0.003207142857142857,0.0011607142857142858,0.003207142857142857,0.0011607142857142858,-1.212867857142857
294,10000,1,2,2,27,0,0,2,0,0,0,7015,10227,9560,9901,9963,10182,3507,0,500,370,393,700,1,0.7015,1.0227,0.956,0.9901,0.9963,1.0182
304,20000,2,1,2,25,0,0,2,0,0,0,11968,14564,27820,15824,15761,12510,2800,0,4000,1700,1000,2000,1,0.5984,0.7282,1.391,0.7912,0.78805,0.6255
309,30000,1,3,1,55,2,2,2,3,3,4,9720,10613,11339,12841,13836,14514,1200,1200,2000,1500,1500,1500,1,0.324,0.3537666666666667,0.3779666666666667,0.4280333333333333,0.4612,0.4838
314,200000,2,3,1,49,0,2,2,2,0,0,52439,51040,56205,54723,58657,59983,0,6000,0,5000,2286,3000,1,0.262195,0.2552,0.281025,0.273615,0.293285,0.299915
316,60000,1,2,2,23,0,0,0,0,0,0,49507,33282,34312,17277,17808,19346,1970,2000,618,809,2000,616,1,0.8251166666666667,0.5547,0.5718666666666666,0.28795,0.2968,0.32243333333333335
321,110000,1,2,2,29,1,2,2,0,0,0,58362,56598,51908,48647,47862,47969,2500,0,2000,2000,1854,2000,1,0.5305636363636363,0.5145272727272727,0.4718909090909091,0.44224545454545455,0.4351090909090909,0.4360818181818182
327,220000,2,2,1,41,0,2,2,0,2,0,650,650,325,950,475,325,325,0,950,0,325,325,1,0.0029545454545454545,0.0029545454545454545,0.0014772727272727272,0.004318181818181818,0.002159090909090909,0.0014772727272727272
328,60000,2,2,1,34,2,2,2,2,2,0,24898,27976,27233,30184,29566,30225,3800,0,3720,0,1300,1291,1,0.41496666666666665,0.46626666666666666,0.45388333333333336,0.5030666666666667,0.4927666666666667,0.50375
331,200000,2,2,1,37,1,0,2,0,0,0,-179,505,189,6773,23209,16893,1000,0,6900,24000,17000,2500,1,-0.000895,0.002525,0.000945,0.033865,0.116045,0.084465
